id,concept_en,concept_zh,question,answer,source_chapter,practice_prompt
1,How to Speak,如何演讲,这门课程的核心目标是什么？,让听众记住你讲的内容，并获得新的能力。,第1章,写下你下一次演讲的"赋能承诺"。
2,Patrick Winston,帕特里克·温斯顿,Patrick Winston 是谁？,MIT 计算机科学与人工智能实验室（CSAIL）教授，创世纪研究组（Genesis Group）负责人。,第1章,搜索 Winston 的其他演讲视频。
3,Empowerment Promise,赋能承诺,什么是一个好的开场？,告诉听众他们将获得什么新能力，而不是讲笑话、道歉或感谢主办方。,第2-3章,为你的下一次演讲写一个"赋能承诺"。
4,Cycling,循环强化,什么是"循环强化"？,在演讲中反复提及核心概念，让听众在多次接触中记住它。,第4章,在你的下一次演讲中，至少3次提到核心观点。
5,Build a Fence,建围栏 / 画边界,为什么要"建围栏"？,明确区分你的工作和他人工作的边界，避免听众混淆。,第4章,列出你的工作和最相近工作的3个关键区别。
6,Verbal Punctuation,语言标点 / 口头路标,什么是"语言标点"？,用过渡短语（如"现在我将讨论...""总结一下..."）标记演讲的结构。,第4章,为你的演讲大纲添加5个"语言标点"。
7,Ask a Question,提出疑问,为什么要在演讲中提问？,提问能激活听众的思考，增加参与感，并帮助你过渡到下一个话题。,第4章,在你的演讲中加入2个反问句。
8,Best Time to Speak,最佳演讲时间,一天中什么时候演讲效果最好？,上午11点。避免饭前和饭后。,第5章,如果可能，安排你的重要演讲在上午11点。
9,Boards,黑板,什么时候应该用黑板而不是幻灯片？,当你需要推导公式、画逐步演化的图、或者控制演讲节奏时。,第6章,尝试用黑板给同事讲一个概念。
10,Props,道具,道具在演讲中有什么作用？,道具能抓住注意力、提供具体的视觉锚点、让抽象概念变具体。,第6章,为你的下一次演讲找一个合适的道具。
11,Slide Abuse,幻灯片滥用,幻灯片最常见的错误是什么？,文字太多、要点太多、字太小、把幻灯片当提词器。,第6章,审查你的幻灯片，删除所有多余的文字。
12,Good Slides,好的幻灯片,好的幻灯片应该有什么特点？,少字、大图、每页一个核心信息、标题就是结论。,第6章,把你最差的一张幻灯片重新设计。
13,Laser Pointer,激光笔,为什么 Winston 反对使用激光笔？,激光笔会让演讲者背对观众，而且小红点很难看清。,第6章,用箭头直接在幻灯片上标注，而不是用激光笔。
14,Informing Structure,信息型演讲结构,信息型演讲的最佳结构是什么？,承诺 (Promise) → 启发 (Inspire) → 教会思考 (How to Think)。,第7章,用这个结构重新组织你上次的信息型演讲。
15,Promise,承诺,演讲中的"承诺"是什么意思？,告诉听众：听完这场演讲，你将获得什么具体能力。,第7章,用一句话写出你演讲的承诺。
16,Inspire,启发 / 激励,如何"启发"听众？,展示可能性、讲一个相关的故事、或者提出一个引人深思的问题。,第7章,为你的演讲找到一个能启发听众的故事。
17,How to Think,教会思考,为什么"教会思考"比"告诉事实"更重要？,事实会遗忘，但思考方式会留下。听众需要的是解决问题的方法。,第7章,把你的"告诉"改成"展示思考过程"。
18,Winston's Star,温斯顿之星,"温斯顿之星"包含哪五个元素？,符号 (Symbol)、口号 (Slogan)、惊讶点 (Surprise)、突出想法 (Salient Idea)、故事 (Story)。,第8章,为你的研究或项目设计一个"温斯顿之星"。
19,Symbol,符号,什么是演讲中的"符号"？,一个能代表你核心工作的视觉或语言符号，让人一看就能联想到你。,第8章,为你的工作设计一个简单符号。
20,Slogan,口号,好的口号有什么特点？,简短、易记、能概括核心信息。例如"先思考，再编码"。,第8章,为你的项目写5个候选口号，然后选出最好的一个。
21,Surprise,惊讶点,为什么演讲中需要"惊讶点"？,惊讶能打破预期、抓住注意力、让信息更难忘。,第8章,在演讲中找到一个能制造"惊讶"的事实或数据。
22,Salient Idea,突出想法,什么是"突出想法"？,你的演讲中最核心、最独特的那个观点。听众应该只记得这个。,第8章,用一句话概括你演讲的"突出想法"。
23,Story,故事,为什么"故事"是温斯顿之星的最后一个元素？,故事能承载所有其他元素。人们记住故事，而不是数据。,第8章,为你的核心信息编一个1分钟的故事。
24,Oral Exam,口头答辩,口头答辩的关键是什么？,展示深度。不要只讲你做了什么，要展示你理解得多深。,第8章,准备3个关于你工作的"深度问题"。
25,Job Talk,求职报告,求职报告最重要的是什么？,突出贡献。明确说出你的工作对领域有什么独特贡献。,第8章,用一句话写出你工作的3个核心贡献。
26,Getting Famous,成名 / 建立声誉,如何在学术/专业领域"成名"？,有一个独特的符号和口号，重复它，让人们在想到某个问题时第一个想到你。,第8章,你想让人们在想到什么问题时想到你？
27,No Thank You Slide,不要放感谢页,为什么最后一张幻灯片不应该是"谢谢"？,"谢谢"浪费了最后一张幻灯片的机会。最后一张应该展示你的核心贡献。,第9章,重新设计你的最后一张幻灯片。
28,Final Slide Contributions,最后一张幻灯片展示贡献,最后一张幻灯片应该放什么？,你的核心贡献列表。让听众在离开时记住你做了什么。,第9章,列出你的3个核心贡献，做成一张简洁的幻灯片。
29,Final Words,结束语,好的结束语有什么特点？,简洁有力、与主题相关、给听众留下深刻印象。,第9-10章,写3个候选结束语，让朋友投票选最好的。
30,The Joke,笑话,演讲中什么时候可以讲笑话？,结尾时，但必须与主题相关。不要开场讲笑话。,第10章,为你的演讲准备一个与主题相关的笑话。
31,One-Shot Learning,单样本学习,什么是"单样本学习"？,一次接触就能记住。演讲的目标是让听众一次就记住你的核心信息。,第8章,设计一个能让人"单样本学习"的符号。
32,Near Miss,近似反例,什么是"近似反例"？,与正确答案非常接近的错误例子。通过对比近似反例，能加深理解。,第8章,为你的核心概念找一个"近似反例"。
33,Time and Place,时间与地点,除了内容，还有什么因素影响演讲效果？,时间（上午11点最佳）和地点（避免拥挤、嘈杂、不合适的场地）。,第5章,提前考察你的演讲场地。
34,Visual Aid,视觉辅助,视觉辅助的核心原则是什么？,辅助演讲，不要替代演讲。幻灯片是配角，你是主角。,第6章,测试没有幻灯片你能不能讲。
35,Audience Engagement,听众参与,如何让听众参与？,提问、邀请思考、使用道具、讲与听众相关的故事。,第4章,在你的演讲中加入一个互动环节。
36,Repetition,重复,为什么重复重要？,听众不是记笔记的机器。你需要反复提及核心概念才能让他们记住。,第4章,数一下 Winston 在演讲中说了多少次"empowerment"。
37,Simplicity,简洁,为什么简洁在演讲中很重要？,听众一次只能记住很少的东西。少即是多。一张幻灯片一个信息。,第6章,把你的幻灯片数量减半。
38,Analogy,类比,Winston 为什么用军事法典类比演讲？,类比让抽象概念变具体。"没有武器上战场" = "不会演讲就进入职场"。,第1章,为你的核心概念找一个有力的类比。
39,First Impression,第一印象,演讲的前30秒为什么重要？,听众在前30秒决定是否认真听。不要浪费在道歉或感谢上。,第3章,录下你演讲的前30秒，看看是否足够有力。
40,Last Impression,最后印象,演讲的最后30秒为什么重要？,最后印象往往比第一印象更持久。用有力的结束语让听众带走核心信息。,第9章,录下你演讲的最后30秒，看看是否足够有力。
