english,chinese,category,notes
How to Speak,如何演讲,core,课程标题
Patrick Winston,帕特里克·温斯顿,core,主讲人
MIT,麻省理工学院,core,Massachusetts Institute of Technology
IAP,独立活动期,core,Independent Activities Period
heuristic,启发式方法,method,演讲中的经验法则
cycling,循环强化,method,反复提及核心概念以加深印象
build a fence,建围栏 / 画边界,method,区分你的工作和他人工作的边界
verbal punctuation,语言标点 / 口头路标,method,用过渡语标记演讲结构
empowerment promise,赋能承诺,method,告诉听众他们将获得什么能力
Winston's Star,温斯顿之星,method,Patrick Winston 提出的演讲五星模型
symbol,符号,method,代表核心概念的视觉或语言符号
slogan,口号,method,概括核心信息的简短语句
surprise,惊讶点,method,引发听众兴趣的意外元素
salient idea,突出想法,method,演讲中最核心的观点
story,故事,method,用叙事承载信息
boards,黑板,tool,传统板书
props,道具,tool,实物展示
slides,幻灯片,tool,PPT / Keynote 等
chalk talk,粉笔演讲,tool,边写边讲的传统方式
job talk,求职报告 / 学术求职报告,scene,求职时的学术演讲
oral exam,口头答辩,scene,博士学位答辩等
conference talk,会议报告,scene,学术会议演讲
lecture,讲座,scene,课堂教学
presentation,演示汇报,scene,泛指各类演讲
one-shot learning,单样本学习,cognition,一次接触就能记住
near miss,近似反例 / 近失例,cognition,与正确概念相近的错误例子
contributions,贡献,cognition,研究工作的核心贡献
inspire,启发 / 激励,cognition,让听众产生新想法
promise,承诺,structure,告诉听众他们将获得什么
vision,愿景,structure,对未来可能性的描述
opening,开场,structure,演讲的开头部分
closing,结尾,structure,演讲的结束部分
final slide,最后一张幻灯片,structure,演讲结尾的总结页
final words,结束语,structure,演讲的最后一句话
thank you slide,感谢页,structure,常见的结束方式（不推荐）
CSAIL,计算机科学与人工智能实验室,org,MIT 下属实验室
Genesis Group,创世纪研究组,org,Winston 的研究组
