index,start,end,start_seconds,end_seconds,text_en,text_zh
1,"00:00:00,000","00:00:19,220",0.0,19.22,,
2,"00:00:19,220","00:00:23,840",19.22,23.84,PATRICK WINSTON: The Uniform Code of Military Justice,帕特里克·温斯顿：《统一军事司法法典》
3,"00:00:23,840","00:00:27,530",23.84,27.53,specifies court martial for any officer who sends a soldier,规定任何军官在不带武器的情况下
4,"00:00:27,530","00:00:30,620",27.53,30.62,into battle without a weapon.,将士兵送上战场将被军事法庭审判。
5,"00:00:30,620","00:00:32,995",30.62,32.995,There ought to be a similar protection for students,对学生也应有类似的保护，
6,"00:00:32,995","00:00:34,370",32.995,34.37,because students shouldn't go out,因为学生不应
7,"00:00:34,370","00:00:38,070",34.37,38.07,"into life without the ability to communicate,",在没有沟通能力的情况下走入社会，
8,"00:00:38,070","00:00:40,340",38.07,40.34,and that's because your success in life,这是因为你人生的成功
9,"00:00:40,340","00:00:43,760",40.34,43.76,"will be determined largely by your ability to speak,",主要取决于你的表达能力、
10,"00:00:43,760","00:00:47,840",43.76,47.84,"your ability to write, and the quality of your ideas,",写作能力，以及想法的质量，
11,"00:00:47,840","00:00:50,840",47.84,50.84,in that order.,按这个顺序。
12,"00:00:50,840","00:00:52,670",50.84,52.67,I know that I can be successful in this,我知道我能在此取得成功，
13,"00:00:52,670","00:00:57,050",52.67,57.05,"because the quality of communication,",因为沟通的质量——
14,"00:00:57,050","00:00:59,450",57.05,59.45,"your speaking, your writing, is largely",你的演讲、你的写作——主要
15,"00:00:59,450","00:01:01,880",59.45,61.88,determined by this formula.,由这个公式决定。
16,"00:01:01,880","00:01:05,150",61.88,65.15,"It's a matter of how much knowledge you have,",这取决于你拥有多少知识、
17,"00:01:05,150","00:01:07,670",65.15,67.67,"how much you practice with that knowledge,",用这些知识做多少练习、
18,"00:01:07,670","00:01:10,100",67.67,70.1,"and your inherent talent, and notice",以及你的先天才能。注意
19,"00:01:10,100","00:01:12,230",70.1,72.23,that the T is very small.,这里的 T 非常小。
20,"00:01:12,230","00:01:15,860",72.23,75.86,What really matters is what you know.,真正重要的是你掌握的知识。
21,"00:01:15,860","00:01:19,970",75.86,79.97,This point came to me suddenly a few decades ago when,几十年前，我突然领悟到这一点，
22,"00:01:19,970","00:01:22,610",79.97,82.61,I was skiing at Sun Valley.,当时我正在太阳谷滑雪。
23,"00:01:22,610","00:01:25,430",82.61,85.43,"I had heard that it was Celebrity Weekend, and one",我听说那是名人周末，一位
24,"00:01:25,430","00:01:30,800",85.43,90.8,"of the celebrities was Mary Lou Retton,",名人就是玛丽·卢·雷顿，
25,"00:01:30,800","00:01:35,480",90.8,95.48,"famous Olympic gymnast, perfect 10s in the vault.",著名奥运体操运动员，跳马满分。
26,"00:01:35,480","00:01:38,510",95.48,98.51,"And I heard that she was a novice at skiing,",我听说她是滑雪新手，
27,"00:01:38,510","00:01:40,070",98.51,100.07,"so when the opportune moment arrived,",于是等到时机成熟，
28,"00:01:40,070","00:01:42,470",100.07,102.47,I looked over on the novice slope,我望向新手坡，
29,"00:01:42,470","00:01:46,270",102.47,106.27,"and saw this young woman who, when she became unbalanced,",看到一位年轻女子，她失去平衡时
30,"00:01:46,270","00:01:48,350",106.27,108.35,went like that.,是这样做的。
31,"00:01:48,350","00:01:50,330",108.35,110.33,And I said that's got to be her.,我心想，那一定就是她。
32,"00:01:50,330","00:01:53,570",110.33,113.57,That must be the gymnast.,那肯定是那位体操运动员。
33,"00:01:53,570","00:01:56,210",113.57,116.21,"But then, it occurred to me, I'm a much better skier",但随后我意识到，我滑雪远胜于她，
34,"00:01:56,210","00:01:58,820",116.21,118.82,"than she is, and she's an Olympic athlete-- not only",而她是奥运选手——不仅
35,"00:01:58,820","00:02:03,230",118.82,123.23,"an ordinary Olympic athlete, an outstanding one.",是普通奥运选手，而且是杰出选手。
36,"00:02:03,230","00:02:08,120",123.23,128.12,"And I was a better skier because I had the K, and I had the P,",我滑雪更好是因为我拥有 K，也拥有 P，
37,"00:02:08,120","00:02:10,729",128.12,130.729,and all she had was the T. So you,她却只有 T。所以你
38,"00:02:10,729","00:02:12,860",130.729,132.86,can get a lot better than people who,完全可以比那些
39,"00:02:12,860","00:02:15,140",132.86,135.14,may have inherent talents if you have,有先天才能的人做得好，
40,"00:02:15,140","00:02:17,460",135.14,137.46,the right amount of knowledge.,只要你有恰当的知识量。
41,"00:02:17,460","00:02:20,960",137.46,140.96,"So that's what my objective is today, and here's my promise.",这就是我今天的目标，这是我的承诺。
42,"00:02:20,960","00:02:24,830",140.96,144.83,"Today, you will see some examples",今天，你会看到一些例子，
43,"00:02:24,830","00:02:28,400",144.83,148.4,of what you can put in your armamentarium of speaking,可以加入你演讲技巧的武器库，
